PI DATA ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date / Time;Throughput L1;Throughput L2;Ley de cabeza CuT L1;Ley de cabeza CuT L2;Ley de Conc. Ro Cu;Relave Ro Cu L1;Relave Ro Cu L2;Sólidos O/F Ciclones L1;Sólidos O/F Ciclones L2;P80 (PSI) L1;P80 (PSI) L2;Rougher L1|pH 1ra celda;Rougher L1|pH 6ta celda;Rougher L2|pH 1ra celda;Rougher L2|pH 6ta celda;Rougher L1|ORP 1ra celda;Rougher L1|ORP 6ta celda;Rougher L2|ORP 1ra celda;Rougher L2|ORP 6ta celda;Flujo de agua alimentación Ro L1;Flujo de agua alimentación Ro L2;Nivel de espuma por celda 1;Nivel de espuma por celda 2;Nivel de espuma por celda 3;Nivel de espuma por celda 4;Nivel de espuma por celda 5;Nivel de espuma por celda 6;Nivel de espuma por celda 7;Nivel de espuma por celda 8;Nivel de espuma por celda 9;Nivel de espuma por celda 10;Nivel de espuma por celda 11;Nivel de espuma por celda 12;Nivel de espuma por celda 13;Nivel de espuma por celda 14;Flujo de aire por celda 1;Flujo de aire por celda 2;Flujo de aire por celda 3;Flujo de aire por celda 4;Flujo de aire por celda 5;Flujo de aire por celda 6;Flujo de aire por celda 7;Flujo de aire por celda 8;Flujo de aire por celda 9;Flujo de aire por celda 10;Flujo de aire por celda 11;Flujo de aire por celda 12;Flujo de aire por celda 13;Flujo de aire por celda 14;Colector L01;Colector L02;;;;;;;;;;;;;;;;;;;;
;tmh/hr;tmh/hr;%;%;%;%;%;%;%;um;um;-;-;-;-;mV;mV;mV;mV;m3/hr;m3/hr;%;%;%;%;%;%;%;%;%;%;%;%;%;%;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;m3/hr;g/t;g/t;Rec Ro;;Densidad;Caudal;Volumen;Tiempo;;;;;;;;;;;;;;
7:30:00;2064,256;2012,910;0,474;0,356;4,045;0,104;0,044;39,059;41,059;135,504;132,292;8,959;8,801;9,317;9,152;6,497;19,043;88,313;60,981;922,396;1045,256;30,532;29,696;29,591;30,388;30,996;32,935;36,618;35,857;29,940;35,355;30,570;33,965;35,260;27,657;699,785;622,573;779,588;816,667;898,717;1000,259;753,609;899,634;601,488;692,916;800,924;594,845;848,401;790,544;34,915;29,973;83,7;;;;;;;;;;;;;;;;;;;
7:31:00;2034,246;2029,258;0,474;0,356;4,045;0,118;0,044;39,059;41,059;135,504;132,292;8,957;8,801;9,322;9,152;8,405;19,531;87,240;58,377;923,093;1042,235;30,472;30,325;30,501;29,586;27,857;31,563;34,468;36,547;30,098;35,502;30,069;33,917;34,757;28,317;701,174;625,144;855,877;824,708;899,703;1001,501;751,516;883,695;600,505;698,996;795,048;605,229;848,568;801,249;35,086;29,706;82,1;;;;;;;;;;;;;;;;;;;
7:32:00;2058,786;2007,971;0,474;0,356;4,045;0,118;0,044;39,059;41,059;135,504;132,292;8,957;8,801;9,325;9,152;4,143;18,989;87,210;61,903;927,755;1050,499;29,701;30,993;30,232;30,195;33,680;29,352;34,862;36,432;30,527;35,873;29,560;34,456;36,594;30,945;701,867;623,135;776,935;825,248;900,828;1001,726;752,170;894,881;598,438;700,320;796,964;596,423;849,231;823,279;34,892;29,936;82,1;;;;;;;;;;;;;;;;;;;
7:33:00;2044,651;2048,449;0,474;0,356;4,045;0,118;0,046;39,059;41,059;135,504;128,348;8,952;8,801;9,332;9,152;10,243;20,562;87,773;61,361;921,750;1047,277;28,911;29,254;29,253;29,136;29,087;32,488;35,187;36,184;30,175;36,463;30,525;35,491;33,919;35,623;699,546;623,073;822,654;822,374;897,992;993,099;753,022;876,993;598,438;701,794;800,154;592,118;850,363;781,300;34,890;29,550;81,8;;;;;;;;;;;;;;;;;;;
7:34:00;2028,576;2034,298;0,474;0,356;4,045;0,118;0,046;39,059;41,059;135,504;128,348;8,949;8,811;9,325;9,152;11,066;16,981;88,225;61,469;923,188;1046,010;28,809;29,885;28,785;28,960;29,688;26,067;33,937;33,988;30,022;34,753;30,272;36,224;35,477;30,441;703,194;626,087;777,721;823,943;897,543;1006,040;755,527;901,256;598,406;700,290;800,822;598,172;851,501;798,440;34,884;29,566;81,8;;;;;;;;;;;;;;;;;;;
7:35:00;2057,759;2043,425;0,474;0,356;4,045;0,118;0,046;39,059;41,059;135,504;128,348;8,938;8,801;9,322;9,152;6,446;18,500;87,240;63,422;926,035;1037,100;29,683;29,779;30,367;31,059;30,623;26,743;35,736;32,533;29,798;33,991;29,140;35,256;35,542;30,407;695,945;621,566;825,413;821,099;897,423;1001,917;752,437;914,997;596,519;696,340;797,456;606,447;849,146;791,672;35,002;29,612;81,8;;;;;;;;;;;;;;;;;;;
7:36:00;2014,035;2049,256;0,474;0,356;4,045;0,118;0,046;39,059;41,059;139,582;128,348;8,938;8,799;9,320;9,152;4,012;18,989;87,447;60,927;929,565;1044,465;28,979;29,404;28,641;29,398;30,631;33,039;35,451;31,870;29,054;33,464;29,464;34,335;34,139;26,276;700,735;623,263;838,061;825,979;900,028;996,686;750,139;896,554;595,703;696,171;793,973;595,710;846,734;820,678;35,108;29,507;81,8;;;;;;;;;;;;;;;;;;;
7:37:00;2015,998;2043,726;0,474;0,356;4,045;0,118;0,046;39,059;41,059;139,582;128,348;8,940;8,799;9,317;9,152;5,707;17,036;87,144;61,469;929,396;1052,717;29,374;30,416;31,029;29,763;29,272;25,959;32,567;32,043;29,734;34,075;28,266;33,315;32,980;30,466;706,657;622,610;832,470;819,661;898,581;997,111;749,821;909,687;596,131;710,961;799,555;602,809;850,443;795,606;35,287;29,635;81,8;;;;;;;;;;;;;;;;;;;
7:38:00;2027,694;2047,050;0,474;0,356;4,045;0,118;0,046;39,059;41,059;139,582;128,348;8,942;8,799;9,314;9,152;10,489;18,935;90,531;60,927;933,909;1042,446;29,396;29,951;29,674;31,456;33,072;32,496;35,123;32,179;30,397;34,992;29,370;34,048;35,049;30,001;699,759;625,114;799,391;825,172;902,238;1003,461;748,937;916,496;597,636;710,500;795,563;599,355;849,607;804,722;34,945;29,542;81,8;;;;;;;;;;;;;;;;;;;
