Fecha;Nombre Stocks;Tonelaje [Ton];Leyes de Elementos;;;;;pH Natural ;Arcillas;;;;;Sulfuros de Cobre;;;;;Pirita [%]
;;;CuT [%];CuS [%];As [ppm];Mo [ppm];FeT [%];;Pirofilita    [%];Caolinita [%];Illita          [%];Muscovita [%];Suma de Arcillas [%];Bornita   [%];Calcocina [%];Calcopirita [%];Covelina [%];Enargita [%];
31-12-2023;RS1-ALTALEY/SAL; 4.138 ; 1,59 ; 0,082 ; 89 ; 410 ; 3,10 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
31-12-2023;RS1-GAVIOTA/SAL; 34.544 ; 2,00 ; 0,196 ; 1.998 ; 111 ; 7,27 ; 6,8 ; 2,5 ; 1,8 ; 13,5 ; 18,2 ; 17,8 ; 0,3 ; 2,1 ; 1,0 ; 0,1 ; 0,0 ; 8,1 
31-12-2023;RS1-STOCKCR04/SAL; 12.452 ; 1,44 ; 0,079 ; 57 ; 393 ; 3,11 ; 7,0 ; 0,3 ; 0,7 ; 10,9 ; 14,2 ; 11,9 ; 0,9 ; 0,1 ; 1,8 ; 0,0 ; 0,0 ; 3,0 
01-01-2024;RS1-ALTALEY/SAL; 17.297 ; 1,59 ; 0,080 ; 89 ; 410 ; 3,10 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
01-01-2024;RS1-GAVIOTA/SAL; 299 ; 1,87 ; 0,200 ; 1.998 ; 111 ; 7,27 ; 6,8 ; 2,5 ; 1,8 ; 13,5 ; 18,2 ; 17,8 ; 0,3 ; 2,1 ; 1,0 ; 0,1 ; 0,0 ; 8,1 
01-01-2024;RS1-PARINA/SME; 7.352 ; 0,80 ; 0,040 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
01-01-2024;RS1-STOCKCR04/SAL; 31.089 ; 1,47 ; 0,080 ; 61 ; 408 ; 3,11 ; 7,0 ; 0,3 ; 0,7 ; 10,9 ; 14,2 ; 11,9 ; 0,9 ; 0,1 ; 1,8 ; 0,0 ; 0,0 ; 3,0 
02-01-2024;RS1-PARINA/SME; 42.606 ; 0,80 ; 0,040 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
02-01-2024;RS1-STOCKCR04/SAL; 10.169 ; 1,47 ; 0,080 ; 60 ; 404 ; 3,11 ; 7,0 ; 0,3 ; 0,7 ; 10,9 ; 14,2 ; 11,9 ; 0,9 ; 0,1 ; 1,8 ; 0,0 ; 0,0 ; 3,0 
